gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
3724302165	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/103281830	Animalia	Chordata	Mammalia	Carnivora	Phocidae	Pagophilus	Pagophilus groenlandicus		SPECIES	Pagophilus groenlandicus (Erxleben, 1777)	Pagophilus groenlandicus		GL	Norwegian Sea		PRESENT	2	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	76.408232	-4.680667	25.0						2015-06-08T00:00:00	8	6	2015	2434801	2434801	HUMAN_OBSERVATION		Observations	OBS.103281830				CC_BY_NC_4_0	Stichting Observation International	User 40006			2023-04-18T13:13:41.098Z		COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
3724289247	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/103220428	Animalia	Chordata	Mammalia	Carnivora	Phocidae	Pagophilus	Pagophilus groenlandicus		SPECIES	Pagophilus groenlandicus (Erxleben, 1777)	Pagophilus groenlandicus		GL	Norwegian Sea		PRESENT	1	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	76.3917	-4.6824	30.0						2015-06-08T00:00:00	8	6	2015	2434801	2434801	HUMAN_OBSERVATION		Observations	OBS.103220428				CC_BY_NC_4_0	Stichting Observation International	User 57956			2023-04-18T13:13:33.720Z		COUNTRY_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
3715299303	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/103220430	Animalia	Chordata	Mammalia	Carnivora	Phocidae	Pagophilus	Pagophilus groenlandicus		SPECIES	Pagophilus groenlandicus (Erxleben, 1777)	Pagophilus groenlandicus		GL	Norwegian Sea		PRESENT	8	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	76.4013	-4.6818	5.0						2015-06-08T00:00:00	8	6	2015	2434801	2434801	HUMAN_OBSERVATION		Observations	OBS.103220430				CC_BY_NC_4_0	Stichting Observation International	User 57956			2023-04-18T13:13:30.242Z		COUNTRY_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
3714938241	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/103281832	Animalia	Chordata	Mammalia	Carnivora	Phocidae	Pagophilus	Pagophilus groenlandicus		SPECIES	Pagophilus groenlandicus (Erxleben, 1777)	Pagophilus groenlandicus		GL	Norwegian Sea		PRESENT	1	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	76.401127	-4.680958	25.0						2015-06-08T00:00:00	8	6	2015	2434801	2434801	HUMAN_OBSERVATION		Observations	OBS.103281832				CC_BY_NC_4_0	Stichting Observation International	User 40006			2023-04-18T13:15:21.657Z		COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
2845475338	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/173060514	Animalia	Chordata	Mammalia	Carnivora	Phocidae	Pagophilus	Pagophilus groenlandicus		SPECIES	Pagophilus groenlandicus (Erxleben, 1777)	Pagophilus groenlandicus		GL	Greenland Sea		PRESENT	1	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	73.925003	-8.89926	10.0						2019-05-22T00:00:00	22	5	2019	2434801	2434801	HUMAN_OBSERVATION		Observations	OBS.173060514				CC_BY_NC_4_0	Stichting Observation International	User 1898			2023-04-18T13:15:58.609Z		COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
2845111639	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/173211487	Animalia	Chordata	Mammalia	Carnivora	Phocidae	Pagophilus	Pagophilus groenlandicus		SPECIES	Pagophilus groenlandicus (Erxleben, 1777)	Pagophilus groenlandicus		GL	Greenland Sea		PRESENT	1	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	74.936498	-9.449841	9.0						2019-05-22T00:00:00	22	5	2019	2434801	2434801	HUMAN_OBSERVATION		Observations	OBS.173211487				CC_BY_NC_4_0	Stichting Observation International	User 7466			2023-04-18T13:16:00.041Z		COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
2845058674	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/172909569	Animalia	Chordata	Mammalia	Carnivora	Phocidae	Pagophilus	Pagophilus groenlandicus		SPECIES	Pagophilus groenlandicus (Erxleben, 1777)	Pagophilus groenlandicus		GL	Greenland Sea		PRESENT	14	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	74.323494	-9.137504	25.0						2019-05-22T00:00:00	22	5	2019	2434801	2434801	HUMAN_OBSERVATION		Observations	OBS.172909569				CC_BY_NC_4_0	Stichting Observation International	User 4078			2023-04-18T13:16:16.095Z		COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
2844975635	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/157978155	Animalia	Chordata	Mammalia	Carnivora	Phocidae	Pagophilus	Pagophilus groenlandicus		SPECIES	Pagophilus groenlandicus (Erxleben, 1777)	Pagophilus groenlandicus		GL	Greenland Sea		PRESENT	1	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	77.566509	-5.235123	25.0						2018-06-01T00:00:00	1	6	2018	2434801	2434801	HUMAN_OBSERVATION		Observations	OBS.157978155				CC_BY_NC_4_0	Stichting Observation International	User 40127			2023-04-18T13:13:54.248Z		COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
2844885816	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/173212856	Animalia	Chordata	Mammalia	Carnivora	Phocidae	Pagophilus	Pagophilus groenlandicus		SPECIES	Pagophilus groenlandicus (Erxleben, 1777)	Pagophilus groenlandicus		GL	Greenland Sea		PRESENT	3	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	74.606781	-9.296188	25.0						2019-05-22T00:00:00	22	5	2019	2434801	2434801	HUMAN_OBSERVATION		Observations	OBS.173212856				CC_BY_NC_4_0	Stichting Observation International	User 15070			2023-04-18T13:16:13.733Z		COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
2844770455	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/172909588	Animalia	Chordata	Mammalia	Carnivora	Phocidae	Pagophilus	Pagophilus groenlandicus		SPECIES	Pagophilus groenlandicus (Erxleben, 1777)	Pagophilus groenlandicus		GL	Greenland Sea		PRESENT	12	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	73.928085	-8.901313	25.0						2019-05-22T00:00:00	22	5	2019	2434801	2434801	HUMAN_OBSERVATION		Observations	OBS.172909588				CC_BY_NC_4_0	Stichting Observation International	User 4078			2023-04-18T13:16:03.839Z		COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
